"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","F1","=~","qu13",0.533844889147223,0.0650705240564883,8.204096968449,2.22044604925031e-16,0.406309005541359,0.661380772753087
"2","F1","=~","qu14",0.379967349970146,0.0510826399366296,7.43828726239507,1.01918473660589e-13,0.279847215459125,0.480087484481168
"3","F1","=~","qu17",0.689372306066952,0.0483406404732817,14.2607193309318,0,0.59462639174972,0.784118220384183
"4","F1","=~","qu18",0.665225445394354,0.0798582586071114,8.33007702643688,0,0.50870613465633,0.821744756132378
"5","F1","=~","qu19",0.591791762995738,0.0560318465823417,10.5617037290761,0,0.481971361707075,0.701612164284402
"6","F1","=~","qu35",0.931787169489155,0.125525570274183,7.42308652694326,1.14352971536391e-13,0.685761572612905,1.1778127663654
"7","F1","=~","qu37",0.629557912781153,0.0683535092059482,9.21032321668085,0,0.495587496520567,0.763528329041739
"8","F2","=~","qu24",0.577779212921916,0.0552349500159794,10.4603917040708,0,0.469520700202727,0.686037725641106
"9","F2","=~","qu25",0.691526582564232,0.0402032401444389,17.2007674028206,0,0.612729679819317,0.770323485309148
"10","F2","=~","qu26",0.535179855599701,0.0493280979477934,10.8493916827304,0,0.438498560196162,0.63186115100324
"11","F2","=~","qu27",0.503353742073175,0.0534794755847001,9.41209195808155,0,0.398535896015073,0.608171588131276
"12","F2","=~","qu28",0.503279053713837,0.0537583700487149,9.36187338376841,0,0.397914584550779,0.608643522876895
"13","F2","=~","qu29",0.526575400083398,0.0481100780634971,10.9452202382297,0,0.432281379785533,0.620869420381263
"14","F2","=~","qu30",0.496784482941639,0.0447315315345294,11.1059126727677,0,0.409112292160644,0.584456673722634
"15","F2","=~","qu31",0.549934632217853,0.046273511577988,11.8844369805609,0,0.4592402160868,0.640629048348907
"16","F2","=~","qu32",0.516304077438747,0.0477098359053965,10.821753368897,0,0.422794517355854,0.60981363752164
"17","F2","=~","qu33",0.376729652668959,0.055382752713069,6.80229194494444,1.02968744641885e-11,0.268181451986656,0.485277853351262
"18","F1","~~","F2",-0.569625105796356,0.0434409291350258,-13.1126363348678,0,-0.654767762355964,-0.484482449236749
"19","qu13","|","t1",1.32118202595386,0.113788271857317,11.6108804922403,0,1.09816111125046,1.54420294065725
"20","qu13","|","t2",1.77274369916557,0.150726458209341,11.7613305601823,0,1.47732526955798,2.06816212877316
"21","qu13","|","t3",2.02983925472063,0.184771654290614,10.9856636967056,0,1.66769346694714,2.39198504249412
"22","qu13","|","t4",2.38780889771236,0.259334585536384,9.20744486422292,0,1.87952245011542,2.89609534530929
"23","qu14","|","t1",-1.27195296768421,0.110976834196566,-11.4614277555555,0,-1.48946356582775,-1.05444236954066
"24","qu14","|","t2",1.43060876896063,0.120762207574159,11.8464940124758,0,1.19391919142173,1.66729834649953
"25","qu14","|","t3",2.121279302454,0.200236277346447,10.5938810417644,0,1.72882341045659,2.51373519445141
"26","qu14","|","t4",2.63255314790786,0.33968884792529,7.74989571776243,9.10382880192628e-15,1.96677524002439,3.29833105579133
"27","qu17","|","t1",-0.40369002190967,0.0842247821512294,-4.79300761128508,1.64299388849543e-06,-0.568767561531812,-0.238612482287528
"28","qu17","|","t2",1.27195296768421,0.110976834196566,11.4614277555555,0,1.05444236954066,1.48946356582775
"29","qu17","|","t3",1.72378998790849,0.145526071689522,11.8452313588604,0,1.43856412858543,2.00901584723155
"30","qu17","|","t4",2.23490282882101,0.222580748047416,10.0408631403508,0,1.79865257899609,2.67115307864593
"31","qu17","|","t5",2.38780889771235,0.259334585536384,9.20744486422289,0,1.87952245011542,2.89609534530929
"32","qu18","|","t1",1.12000445321024,0.103417358949424,10.8299463899283,0,0.917310154293121,1.32269875212737
"33","qu18","|","t2",1.72378998790849,0.145526071689522,11.8452313588604,0,1.43856412858543,2.00901584723155
"34","qu18","|","t3",2.121279302454,0.200236277346447,10.5938810417644,0,1.72882341045659,2.51373519445141
"35","qu19","|","t1",-0.415240160826071,0.0843709178202172,-4.92160298304317,8.58382128932078e-07,-0.580604121096286,-0.249876200555857
"36","qu19","|","t2",1.10033441945908,0.102551500442165,10.729578940482,0,0.899337172031895,1.30133166688627
"37","qu19","|","t3",1.82635629794391,0.156843971474626,11.6444150245161,0,1.51894776266141,2.1337648332264
"38","qu19","|","t4",1.88579908794673,0.164186738007335,11.4856967793738,0,1.56399899471324,2.20759918118022
"39","qu19","|","t5",2.02983925472063,0.184771654290614,10.9856636967056,0,1.66769346694714,2.39198504249412
"40","qu35","|","t1",1.6366916466734,0.137102027379542,11.9377639992334,0,1.36797661080207,1.90540668254473
"41","qu35","|","t2",2.02983925472063,0.184771654290614,10.9856636967056,0,1.66769346694714,2.39198504249412
"42","qu35","|","t3",2.23490282882101,0.222580748047416,10.0408631403508,0,1.79865257899609,2.67115307864593
"43","qu35","|","t4",2.38780889771236,0.259334585536384,9.20744486422291,0,1.87952245011542,2.89609534530929
"44","qu37","|","t1",-0.596490710819556,0.087268995192973,-6.83508168623426,8.19588841238783e-12,-0.767534798364782,-0.425446623274329
"45","qu37","|","t2",1.22562723767796,0.10850023591692,11.296079011445,0,1.01297068296669,1.43828379238922
"46","qu37","|","t3",1.52556335532055,0.127720907977602,11.9445075945442,0,1.27523497561169,1.7758917350294
"47","qu24","|","t1",-2.02983925472063,0.184771654290614,-10.9856636967056,0,-2.39198504249412,-1.66769346694714
"48","qu24","|","t2",-1.77274369916557,0.150726458209341,-11.7613305601823,0,-2.06816212877316,-1.47732526955798
