"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","F1","=~","qu13",0.279609190950799,0.236018657385656,1.18469104963137,0.236139622566253,-0.182978877204585,0.742197259106183
"2","F1","=~","qu14",0.108149662642028,0.218932221318359,0.493986960853802,0.621315388196868,-0.320949606197307,0.537248931481363
"3","F1","=~","qu15",-0.394307327004744,0.121551390702218,-3.24395570241343,0.00117882077602238,-0.632543675051849,-0.156070978957639
"4","F1","=~","qu16",-0.455660457106918,0.0965115742844296,-4.72130374502067,2.34337675619756e-06,-0.644819666795662,-0.266501247418174
"5","F1","=~","qu17",0.486160898630907,0.203742332940703,2.38615555056199,0.017025548073498,0.0868332639409601,0.885488533320854
"6","F1","=~","qu18",0.546400138865874,0.158619218631014,3.44472847352079,0.000571633305251451,0.235512183093202,0.857288094638546
"7","F1","=~","qu19",0.311894505931218,0.118573790739564,2.63038318996029,0.00852886738235759,0.0794941465712835,0.544294865291152
"8","F1","=~","qu20",0.0201993669449238,0.17052349527988,0.118455037012762,0.905707119462268,-0.314020542321527,0.354419276211374
"9","F1","=~","qu21",-0.584600913060361,0.0870014127057911,-6.71944161455494,1.82422965622209e-11,-0.755120548567817,-0.414081277552905
"10","F1","=~","qu22",-0.693291277488923,0.0614106744124901,-11.2894262133021,0,-0.813653987603719,-0.572928567374127
"11","F2","=~","qu24",0.476818321536396,0.110107152911164,4.33049360490773,1.48775467074813e-05,0.261012267390269,0.692624375682522
"12","F2","=~","qu25",0.606782613597427,0.0909015324633483,6.67516374206434,2.46955789151571e-11,0.428618883829766,0.784946343365088
"13","F2","=~","qu26",0.572067709492613,0.0816481067840381,7.00650305347251,2.44337883259504e-12,0.412040360790018,0.732095058195208
"14","F2","=~","qu27",0.483796762014456,0.0818064300532153,5.91392096806748,3.34058225526235e-09,0.323459105406359,0.644134418622553
"15","F2","=~","qu28",0.432676593743348,0.0872020789214207,4.96176925017167,6.98539522892005e-07,0.261763659680344,0.603589527806352
"16","F2","=~","qu29",0.532062406214362,0.102937096621552,5.16881108635198,2.35587885422106e-07,0.330309404163001,0.733815408265723
"17","F2","=~","qu30",0.479052381028819,0.118116224722993,4.05577118767805,4.99691584412432e-05,0.247548834581914,0.710555927475724
"18","F2","=~","qu31",0.481297103271967,0.108669950746992,4.42898059641651,9.46795396994382e-06,0.268307913606121,0.694286292937814
"19","F2","=~","qu32",0.513730845901585,0.0949866351024527,5.40845399300095,6.35711125962501e-08,0.327560462088129,0.69990122971504
"20","F2","=~","qu33",0.324416301518047,0.159613256560465,2.03251477044547,0.0421015700243541,0.0115800672043844,0.637252535831709
"21","F3","=~","qu35",0.473608068308127,0.174787869088069,2.70961635254844,0.00673610739962238,0.131030139961011,0.816185996655243
"22","F3","=~","qu36",-0.405919417722093,0.108525722946278,-3.74030604636496,0.000183796326120422,-0.61862592609297,-0.193212909351215
"23","F3","=~","qu37",0.456956591465698,0.11464278731213,3.98591662135335,6.72201157032593e-05,0.232260857246637,0.681652325684759
"24","F3","=~","qu38",0.074862304441343,0.199409771058054,0.375419439298931,0.707348549915239,-0.315973664997821,0.465698273880507
"25","F3","=~","qu39",-0.593537013181446,0.0892569222038601,-6.6497589041422,2.93574053955581e-11,-0.768477366071905,-0.418596660290987
"26","F3","=~","qu40",-0.685990464701224,0.11179994760194,-6.13587465303358,8.46919201435981e-10,-0.90511433547449,-0.466866593927957
"27","F3","=~","qu41",-0.627830296768175,0.116881953053231,-5.37149046852638,7.80884965578821e-08,-0.856914715195209,-0.398745878341142
