Variable,Coefficient,Std_Error,P_value
CGDI (pre-2015),0.0461077825240745,0.0603869271918774,0.44653611286909767
CGDI × Post2015,-0.2587583296792268,0.2376806994890048,0.27832453510504696
Total CGDI (post-2015),-0.2126505471551523,,
PIND,-0.5530898912294256,0.1280544428404957,3.097327010936901e-05
COMID,0.18095536348731622,0.20066886218540728,0.36886440103029283
MC,0.003687338838338905,0.0015271766563083454,0.017160797256356997
TCAR,-0.1984690624950159,0.11763648156986811,0.09399335073908133
